ICR,Resolution (eV FWHM @ 5.9 KeV)
143651.24761958103, 130.47676512278284
143651.24761958103, 130.33463586560933
146222.73020051527, 130.47676512278284
146222.73020051527, 130.33463586560933
148794.21278144952, 130.47676512278284
148794.21278144952, 130.33463586560933
151365.69536238376, 130.47676512278284
151365.69536238376, 130.33463586560933
153937.177943318, 130.47676512278284
153937.177943318, 130.33463586560933
156508.66052425225, 130.47676512278284
156508.66052425225, 130.33463586560933
159080.1431051865, 130.47676512278284
159080.1431051865, 130.33463586560933
161651.62568612074, 130.47676512278284
161651.62568612074, 130.33463586560933
164223.10826705498, 130.47676512278284
164223.10826705498, 130.33463586560933
166794.59084798922, 130.47676512278284
166794.59084798922, 130.33463586560933
169366.07342892347, 130.47676512278284
169366.07342892347, 130.33463586560933
171937.5560098577, 130.47676512278284
174509.03859079196, 130.47676512278284
177080.5211717262, 130.47676512278284
179652.00375266044, 130.47676512278284
182223.48633359474, 130.47676512278284
184794.968914529, 130.47676512278284
187366.45149546323, 130.61889437995632
187366.45149546323, 130.47676512278284
189937.93407639748, 130.61889437995632
189937.93407639748, 130.47676512278284
192509.41665733172, 130.61889437995632
192509.41665733172, 130.47676512278284
195080.89923826596, 130.61889437995632
195080.89923826596, 130.47676512278284
197652.3818192002, 130.61889437995632
197652.3818192002, 130.47676512278284
200223.86440013445, 130.61889437995632
200223.86440013445, 130.47676512278284
202795.3469810687, 130.61889437995632
202795.3469810687, 130.47676512278284
205366.82956200294, 130.61889437995632
205366.82956200294, 130.47676512278284
207938.31214293718, 130.61889437995632
207938.31214293718, 130.47676512278284
210509.79472387143, 130.61889437995632
210509.79472387143, 130.47676512278284
213081.27730480567, 130.61889437995632
213081.27730480567, 130.47676512278284
215652.7598857399, 130.61889437995632
215652.7598857399, 130.47676512278284
218224.24246667416, 130.61889437995632
218224.24246667416, 130.47676512278284
220795.7250476084, 130.61889437995632
220795.7250476084, 130.47676512278284
223367.20762854264, 130.61889437995632
223367.20762854264, 130.47676512278284
225938.6902094769, 130.61889437995632
225938.6902094769, 130.47676512278284
228510.17279041113, 130.61889437995632
231081.65537134538, 130.61889437995632
233653.13795227962, 130.61889437995632
236224.62053321386, 130.61889437995632
238796.1031141481, 130.61889437995632
241367.58569508235, 130.61889437995632
243939.0682760166, 130.76102363712982
243939.0682760166, 130.61889437995632
246510.55085695084, 130.76102363712982
246510.55085695084, 130.61889437995632
249082.03343788508, 130.76102363712982
249082.03343788508, 130.61889437995632
251653.51601881933, 130.76102363712982
251653.51601881933, 130.61889437995632
254224.99859975357, 130.76102363712982
