BLUE ocr vs icr,,Red ocr vs icr,,black ocr vs icr,
X,Y,X,Y,X,Y
134880.92712698437,139473.7138473593,539093.590791327,530158.1861656983,,
134880.92712698437,134180.5693836914,537661.4821512406,525117.0962003004,,
139535.28020726467,142498.367826598,543389.9167115856,533182.840144937,,
138103.17156717848,136449.05986812047,541957.8080714993,528141.7501795392,,
143831.60612752338,146027.13080237666,547686.2426318444,538728.0391068748,,
142399.49748743718,140986.0408369786,546254.1339917581,534191.0581380167,,
148127.93204778215,151572.32976431423,551982.5685521031,542256.8020826534,,
146695.8234076959,145523.0218058367,550550.4599120169,537215.7121172554,,
152424.25796804085,154596.98374355305,556278.8944723619,545281.4560618921,,
150992.14932795466,150060.00277469493,554846.7858322755,540240.3660964943,,
156720.58388829962,160646.29170203058,560217.193232599,550826.6550238299,,
155288.47524821336,154596.98374355305,560217.193232599,545533.510560162,,
161016.90980855832,163670.94568126928,564871.5463128793,553851.3090030686,,
159584.80116847213,159133.96471241117,563439.437672793,549314.3280342105,,
164955.20856879556,169720.2536397468,569167.8722331381,557380.0719788471,,
164955.20856879556,164427.10917607893,567735.7635930517,552338.9820134492,,
169609.5616490758,172744.9076189855,573106.1709933751,562925.2709407848,,
168177.4530089896,166695.59966050799,573106.1709933751,557632.1264771171,,
173905.88756933456,176273.67059476417,577402.4969136339,565949.9249200237,,
172473.7789292483,171232.58062936622,577402.4969136339,561412.9439511654,,
178202.21348959327,181818.86955670186,582056.8499939142,569478.6878958021,,
176770.10484950707,175769.56159822433,580624.741353828,564437.5979304042,,
182498.53940985203,184843.52353594056,586353.175914173,572503.3418750409,,
181066.43076976578,180306.54256708245,584921.0672740866,567462.251909643,,
186436.8381700892,190892.8314944181,590291.4746744101,578048.5408369787,,
186436.8381700892,185599.6870307502,590291.4746744101,572755.3963733108,,
191091.19125036945,193917.4854736568,594945.8277546904,581073.1948162174,,
189659.08261028325,189380.50450479868,593513.7191146042,576536.2138473593,,
195029.49001060668,199966.79343213432,599242.1536749492,584601.957791996,,
195029.49001060668,194673.64896846656,597810.0450348629,579560.867826598,,
199683.84309088692,202991.44741137314,603538.4795952078,587626.6117712347,,
198251.73445080072,196942.13945289562,602106.3709551216,582585.5218058368,,
203980.16901114568,206520.2103871517,607476.778355445,593171.8107331723,,
202548.06037105943,201479.12042175373,607476.778355445,587878.6662695046,,
208276.4949314044,212065.40934908937,612131.1314357254,596196.4647124112,,
206844.3862913182,206016.10139061185,610699.0227956391,591659.483743553,,
212572.82085166316,215090.06332832808,616427.4573559841,599221.11869165,,
211140.7122115769,210553.08235946996,614995.3487158978,594684.1377227918,,
216511.11961190033,221139.3712868056,620723.7832762428,602749.8816674284,,
216511.11961190033,215846.22682313784,619291.6746361565,597708.7917020305,,
221165.47269218063,224164.02526604442,624662.08203648,608295.0806293662,,
219733.36405209437,219627.0442971862,624662.08203648,603001.9361656983,,
225461.79861243934,227692.78824182297,629316.4351167603,611319.7346086049,,
224029.68997235314,222651.698276425,627884.3264766741,606782.7536397468,,
229758.1245326981,233237.98720376065,633612.7610370191,614344.3885878436,,
228326.01589261185,227188.67924528313,632180.6523969327,609807.4076189855,,
234054.4504529568,236262.64118299936,637909.0869572777,617873.1515636222,,
232622.3418128706,231725.66021414124,636476.9783171915,612832.0615982243,,
237992.74921319398,242311.94914147689,642205.4128775365,620897.8055428609,,
237992.74921319398,237018.80467780912,640773.3042374502,615856.715577463,,
242647.10229347428,245336.6031207157,646143.7116377737,626443.0045047987,,
241214.99365338802,240799.62215185747,646143.7116377737,621149.8600411308,,
246585.40105371145,251385.91107919312,650440.0375580323,629467.6584840375,,
246585.40105371145,246092.76661552535,650440.0375580323,624174.5140203696,,
251239.75413399175,254410.56505843194,654736.3634782911,632492.3124632762,,
249807.6454939055,248361.2570999544,654736.3634782911,627955.3314944181,,
255536.08005425046,257939.32803421048,659390.7165585714,635516.9664425149,,
254103.97141416426,252898.23806881253,657958.6079184852,630979.9854736568,,
259474.3788144877,263484.52699614817,663687.0424788302,638541.6204217537,,
259474.3788144877,258191.3825324804,662254.9338387438,634004.6394528956,,
264128.73189476796,266509.1809753869,667983.3683990889,642070.3833975322,,
262696.6232546817,261972.20000652876,666551.2597590026,637029.2934321343,,
268067.03065500513,272558.4889338644,672279.6943193476,645095.037376771,,
268067.03065500513,267265.34447019664,670847.5856792614,640053.947411373,,
272721.3837352854,275583.1429131032,676217.9930795848,650640.2363387088,,
271289.27509519923,271046.1619442451,676217.9930795848,645347.0918750409,,
276659.68249552255,281632.45087158075,680514.3189998434,653664.8903179475,,
276659.68249552255,276339.30640791287,680514.3189998434,649127.9093490894,,
281314.0355758029,284657.10485081945,684810.6449201022,656689.5442971862,,
279881.92693571665,278607.7968923419,684810.6449201022,652152.5633283281,,
285610.36149606155,288185.8678265981,689106.970840361,659714.198276425,,
284178.2528559754,283144.77786120004,689106.970840361,655177.2173075669,,
289548.66025629884,293731.0667885357,693761.3239206413,662738.8522556638,,
289548.66025629884,288437.9223248679,692329.215280555,658201.8712868056,,
294203.0133365791,296755.7207677745,698057.6498409,665763.5062349024,,
292770.9046964928,292218.7397989164,696625.5412008137,661226.5252660443,,
298141.31209681625,302805.028726252,702353.9757611587,668788.1602141412,,
298141.31209681625,297511.88426258415,700921.8671210725,664251.1792452831,,
302795.6651770965,305829.68270549073,706650.3016814175,671812.8141933801,,
301363.55653701036,299780.3747470132,705218.1930413313,667275.833224522,,
307091.99109735526,309358.4456812694,710946.6276016763,675341.5771691585,,
305659.882457269,304317.3557158713,709514.5189615899,670300.4872037607,,
311388.317017614,314903.64464320696,715242.9535219349,678366.2311483973,,
309956.2083775278,308854.33668472944,713810.8448818487,673325.1411829994,,
315684.6429378728,317928.2986224458,719539.2794421937,681390.885127636,,
314252.53429778654,313391.31765358767,718107.1708021074,676349.7951622382,,
319622.94169810996,323977.6065809233,723835.6053624525,684415.5391068747,,
319622.94169810996,318684.46211725543,722403.4967223662,679374.4491414769,,
324277.2947783902,327002.260560162,727773.9041226895,686936.0840895737,,
322845.18613830395,322465.2795913039,726699.8226426248,682399.1031207156,,
328215.5935386274,333051.56851863954,732070.2300429483,689960.7380688125,,
328215.5935386274,327758.42405497166,732070.2300429483,685423.7570999544,,
332869.9466189076,336076.22249787825,736366.555963207,692985.3920480513,,
331437.8379788215,330026.9145394007,736366.555963207,688448.4110791932,,
337166.2725391664,339604.9854736568,740662.8818834658,696010.04602729,,
335734.16389908013,334563.89550825895,740662.8818834658,691473.0650584319,,
341104.57129940356,345150.1844355946,744959.2078037245,699034.7000065288,,
341104.57129940356,339857.0399719267,744959.2078037245,694497.7190376706,,
345758.9243796839,348174.8384148333,749255.5337239832,702059.3539857676,,
344326.81573959766,343637.8574459752,749255.5337239832,697522.3730169095,,
349697.2231399211,354224.1463733108,753909.8868042636,702563.4629823073,,
349697.2231399211,348931.00190964295,758206.2127245223,705588.116961546,,
354351.5762202013,357248.80035254953,756774.104084436,700547.0269961482,,
352919.4675801151,352711.8193836914,762502.538644781,708612.7709407848,,
358647.9021404601,360777.5633283281,761070.4300046947,703571.6809753869,,
357215.79350037384,355736.47336293024,766440.8374050182,711133.3159234838,,
362944.22806071874,366322.7622902659,766440.8374050182,706596.3349546257,,
361512.1194206326,360273.45433178835,770737.1633252769,714157.9699027226,,
367240.5539809775,369347.4162695046,770737.1633252769,709620.9889338645,,
365808.44534089125,364810.43530064647,775033.4892455356,717182.6238819613,,
371178.8527412147,375396.7242279821,775033.4892455356,712645.6429131032,,
371178.8527412147,370103.5797643142,779687.8423258159,717686.7328785011,,
375833.2058214949,378421.3782072208,778255.7336857297,712645.6429131032,,
374401.0971814088,373884.3972383627,783626.1410860531,720207.2778612,,
380129.5317417537,381950.14118299936,782552.0596059884,715670.2968923419,,
378697.42310166743,376909.0512176015,787922.4670063119,723231.9318404389,,
384425.85766201245,387495.34014493716,787922.4670063119,718694.9508715807,,
382993.7490219262,381446.03218645963,792576.8200865921,723736.0408369787,,
388722.1835822712,391024.1031207156,796515.1188468293,726256.5858196776,,
387290.07494218496,385983.01315531775,795441.0373667646,721719.6048508195,,
392660.4823425084,396569.3020826534,800811.444767088,729281.2397989163,,
392660.4823425084,391276.1576189855,800811.444767088,724744.2588300582,,
397314.83542278875,399593.9560618921,805107.7706873468,729281.2397989163,,
395882.7267827024,395056.975093034,804033.689207282,724744.2588300582,,
401253.1341830258,405643.2640203696,809404.0966076055,732305.8937781551,,
401253.1341830258,400350.11955670186,809404.0966076055,727768.912809297,,
405907.48726330616,408667.9179996083,813700.4225278642,732305.8937781551,,
404475.3786232199,404130.9370307502,812626.3410477996,727768.912809297,,
410203.8131835649,412196.6809753869,817996.748448123,735330.5477573939,,
408771.70454347867,407155.59100998903,817996.748448123,730793.5667885358,,
414500.1391038237,417741.8799373247,822293.0743683816,735330.5477573939,,
413068.0304637373,411692.57197884715,822293.0743683816,730793.5667885358,,
418796.46502408234,421270.6429131032,826589.4002886404,738355.2017366326,,
417364.3563839961,416229.55294770526,826589.4002886404,733818.2207677745,,
422734.7637843195,426815.8418750409,830885.7262088992,738355.2017366326,,
422734.7637843195,421522.69741137314,830885.7262088992,733818.2207677745,,
427389.11686459987,429840.4958542796,835182.0521291579,738355.2017366326,,
425957.0082245135,425303.5148854215,834107.9706490932,733818.2207677745,,
431685.4427848585,433369.25883005816,839836.4052094382,738859.3107331723,,
430253.33414477226,428328.1688646603,843774.7039696753,741379.8557158713,,
435981.7687051173,438914.45779199596,843774.7039696753,736842.8747470132,,
434549.660065031,432865.14983351843,848071.0298899341,741379.8557158713,,
440278.09462537605,442443.2207677745,848071.0298899341,736842.8747470132,,
438845.9859852898,437402.13080237655,852367.3558101929,741379.8557158713,,
444216.3933856132,447988.4197297122,852367.3558101929,736842.8747470132,,
444216.3933856132,442695.2752660444,856663.6817304515,741379.8557158713,,
448870.74646589346,451013.0737089509,856663.6817304515,736842.8747470132,,
447438.6378258072,446476.0927400928,860960.0076507103,741379.8557158713,,
452809.04522613063,457062.3816674284,860960.0076507103,736842.8747470132,,
452809.04522613063,451769.23720376065,865256.333570969,741379.8557158713,,
457463.398306411,460087.03564666724,865256.333570969,736842.8747470132,,
456031.28966632474,455550.0546778091,869552.6594912277,741379.8557158713,,
461759.72422666976,463615.79862244567,869552.6594912277,736842.8747470132,,
460327.6155865834,458574.7086570478,873848.9854114865,741379.8557158713,,
466056.0501469284,469160.99758438347,873848.9854114865,736842.8747470132,,
464623.94150684215,463111.68962590594,878145.3113317452,739867.528726252,,
470352.3760671872,472185.6515636222,877071.2298516806,736842.8747470132,,
468920.2674271009,467648.67059476406,882441.637252004,738355.2017366326,,
474290.67482742434,478234.9595220997,884589.8002121333,733818.2207677745,,
