Tpk(us),FWHM Fe-55 Resolution(eV)
4.843383446963811, 129.11722269173487
4.890768682707575, 128.98989642509295
4.938195302936705, 128.98962052852386
4.985621923165837, 128.98934463195474
5.0330071589096015, 128.86201836531282
5.0804337791387315, 128.86174246874373
5.127860399367863, 128.8614665721746
5.175245635111628, 128.73414030553272
5.222672255340758, 128.7338644089636
5.270098875569889, 128.7335885123945
5.317484111313654, 128.6062622457526
5.364910731542784, 128.6059863491835
5.412337351771914, 128.6057104526144
5.45972258751568, 128.4783841859725
5.50714920774481, 128.4781082894034
5.542719172916659, 128.47790136697654
5.601961063717706, 128.35050612619236
5.649387683946836, 128.35023022962326
5.696814304175966, 128.34995433305414
5.732384269347815, 128.34974741062734
5.791626160148862, 128.22235216984313
5.839052780377992, 128.22207627327404
5.886479400607124, 128.22180037670495
